,BJD_TDB,Flux,Err
600,2459588.946646,1.00177,0.00204
601,2459588.946859,1.00404,0.00207
602,2459588.947072,1.00268,0.00206
603,2459588.947285,0.99919,0.00207
604,2459588.947491,1.00249,0.00206
605,2459588.947704,1.00106,0.00206
606,2459588.947917,1.00367,0.00207
607,2459588.94813,1.00446,0.00207
608,2459588.948343,1.00408,0.00206
609,2459588.948556,1.00177,0.00208
610,2459588.948762,1.00127,0.00206
611,2459588.948976,1.00258,0.00207
612,2459588.949196,1.00202,0.00207
613,2459588.949402,1.00424,0.00207
614,2459588.949615,1.00298,0.00207
615,2459588.949828,1.00116,0.00207
616,2459588.950041,1.00028,0.00206
617,2459588.950254,1.00433,0.00207
618,2459588.95046,1.0059,0.00207
619,2459588.950673,1.00277,0.00208
620,2459588.950886,1.00452,0.00207
621,2459588.951099,1.0048,0.00207
622,2459588.951311,1.00247,0.00207
623,2459588.951524,1.00503,0.00208
624,2459588.951737,1.00304,0.00206
625,2459588.95195,1.00087,0.00205
626,2459588.952163,1.00364,0.00206
627,2459588.952376,1.00309,0.00206
628,2459588.952589,1.00427,0.00206
629,2459588.952802,1.00531,0.00206
630,2459588.953015,1.0035,0.00206
631,2459588.953228,1.00367,0.00206
632,2459588.953441,1.00181,0.00206
633,2459588.953654,1.00536,0.00207
634,2459588.95386,1.00328,0.00206
635,2459588.954073,1.00725,0.00207
636,2459588.954286,1.00226,0.00206
637,2459588.954499,1.00233,0.00206
638,2459588.954712,1.0016,0.00206
639,2459588.954925,1.0006,0.00207
640,2459588.955138,1.00119,0.00208
641,2459588.95535,0.99928,0.00208
642,2459588.955563,1.00053,0.00207
643,2459588.955776,1.00015,0.00206
644,2459588.955989,1.00245,0.00208
645,2459588.956201,1.00209,0.00208
646,2459588.956414,1.00303,0.00208
647,2459588.956627,1.00064,0.00207
648,2459588.956833,1.00245,0.00208
649,2459588.957046,1.00283,0.00207
650,2459588.957265,1.00467,0.00208
651,2459588.957471,1.00351,0.00208
652,2459588.957684,1.00585,0.00208
653,2459588.957895,1.00256,0.00208
654,2459588.958109,1.00079,0.00208
655,2459588.958321,1.00407,0.00209
656,2459588.958534,1.00164,0.00208
657,2459588.958747,1.00374,0.00209
658,2459588.958959,1.00186,0.00209
659,2459588.959165,1.00133,0.00208
660,2459588.959378,1.00192,0.00209
661,2459588.95959,1.00057,0.00208
662,2459588.959803,1.00337,0.00209
663,2459588.960016,1.00104,0.00208
664,2459588.960229,0.99958,0.00208
665,2459588.960441,1.00022,0.00208
666,2459588.960654,1.00032,0.00208
667,2459588.96086,1.00407,0.00209
668,2459588.961073,1.00126,0.00209
669,2459588.961286,0.99964,0.00209
670,2459588.961499,1.00274,0.00209
671,2459588.961711,1.00182,0.0021
672,2459588.961924,1.00058,0.0021
673,2459588.962137,1.00361,0.0021
674,2459588.962349,1.0037,0.00211
675,2459588.962562,1.00387,0.00211
676,2459588.962774,1.00565,0.00212
677,2459588.962987,1.00338,0.00212
678,2459588.963199,1.00772,0.00213
679,2459588.963412,1.0029,0.00212
680,2459588.963617,1.00481,0.00213
681,2459588.96383,1.00438,0.00214
682,2459588.964042,1.00646,0.00213
683,2459588.964255,1.00265,0.00213
684,2459588.964468,1.0015,0.00212
685,2459588.964681,1.00259,0.00212
686,2459588.964893,1.00019,0.00212
687,2459588.965099,1.0041,0.00212
688,2459588.965311,1.00637,0.00213
689,2459588.965524,1.00082,0.00211
690,2459588.965743,0.99944,0.00211
691,2459588.965956,1.00269,0.00212
692,2459588.966168,1.0071,0.00213
693,2459588.966374,1.00523,0.00213
694,2459588.966586,1.00736,0.00213
