,star,teff,eteff,logg,elogg,vsini,evsini,rad,prot,smwo,esmwo,logrphk,elogrphk,emission
128,WASP-161,6407.0,54.0,4.18,0.02,18.4,0.5,1.639717,3.778847235040453,0.2011714168531678,0.006811880880698454,-4.580066444458324,0.11979387123432206,False
129,WASP-165,5586.0,74.0,4.03,0.08,1.6,0.7,1.71165,46.65885492956631,0.190374783924865,0.009127223236710834,-4.812200361217409,0.24281016144937703,False
130,WASP-167,7003.0,90.0,4.22,0.02,49.7,1.2,1.867015,1.4197575875590411,0.2292067507878262,0.0020276726133712565,-4.463411086184533,0.16848026817693446,False
131,WASP-168,5994.0,27.0,4.36,0.01,0.0,0.0,1.094516,inf,0.19598918723420583,0.006911124755635078,-4.6756319862454925,0.08337127967488321,True
132,WASP-17,6697.0,42.0,4.17,0.11,10.5,0.2,1.4886,6.543047410606383,0.1443283738860369,0.04461564597547161,-4.857608619622562,0.1540629314881035,False
133,WASP-174,6430.0,45.0,4.3,0.01,17.6,0.4,1.326896,3.294930698287078,0.14863548322868486,0.0013263647554256533,-4.834126886278852,0.1766024809488485,False
134,WASP-180A,6354.0,45.0,4.36,0.01,20.4,0.4,1.178353,2.549890260071271,0.2748640878810714,0.0024663076488508234,-4.37682776127779,0.06447295670112659,True
135,WASP-182,5626.0,54.0,4.26,0.17,3.1,0.2,1.2444,17.808008931000305,0.13303023447268916,0.001908061571355595,-5.110957107662815,0.3667980021332667,False
136,WASP-19,5579.0,24.0,4.39,0.15,5.5,0.2,0.969786,8.491539673115662,0.3432207912480757,0.13632636691820313,-4.4417916143969896,0.08234252146646119,True
137,WASP-190,6464.0,45.0,4.06,0.01,13.9,0.2,1.809396,5.700422674562568,0.16407877037342322,0.001649975191164982,-4.738398554418234,0.1386500344362023,False
138,WASP-20,5991.0,150.0,4.18,0.0,4.8,0.4,1.498273,13.533081236477994,0.18166307664249973,0.005361819388228278,-4.734106790091074,0.5291295258574779,False
139,WASP-22,6017.0,82.0,4.35,0.12,4.3,0.3,1.219887,12.349235394273485,0.20128301068544624,0.01539500573807439,-4.650642514479278,0.23973742088516545,False
140,WASP-23,4930.0,150.0,4.42,0.15,1.5,0.5,0.885211,26.253907675442946,0.277768224060422,0.0351206234349892,-4.8164379511666775,0.18578280041174858,True
141,WASP-24,6245.0,43.0,4.28,0.12,6.3,0.2,1.309393,9.234172268951058,0.15652375123944598,0.007069795184574039,-4.808764704663761,0.17536484211510248,False
142,WASP-25,5590.0,128.0,4.47,0.15,3.3,0.2,0.95478,12.441452416023184,0.23025046726436277,0.014642618645472423,-4.6790484299123944,0.3104066134801179,True
143,WASP-28,6012.0,28.0,4.36,0.14,3.4,0.5,1.083525,13.910814682307171,0.17566896065266685,0.08682996441033732,-4.755865565710786,0.11581704789374765,False
144,WASP-31,6363.0,40.0,4.32,0.11,8.1,0.2,1.217595,6.689526419690331,0.15539894456231226,0.05143047496295196,-4.798607969668949,0.15339599426719186,False
145,WASP-38,6334.0,16.0,4.2,0.11,8.4,0.2,1.405833,7.747515263963216,0.15755544687252976,0.0076937905415006514,-4.789597418085902,0.060096119389121516,False
146,WASP-41,5458.0,36.0,4.49,0.15,3.4,0.2,0.892209,11.584862682065097,0.33482977551192517,0.017726233274935593,-4.498666225667183,0.05067079132502513,True
