Host	TOI	URL	Cluster/	Age	Age_median	Age-dating method	exofop url	Discovery Ref.	Nplanets	multi?	Mass ref.	spec inst	Nplanet with mass	Atm ref.	TTV ref	Obliq. ref	RM/DT instrument	exofop_url_json	RA	DEC	TESS	Host Teff	Host radius	Host radius err	Host mass	Vsini	amenable for RM	distance	sectors	Kepler/K2 era?	Prot	LiEW	logR'_HK	B-V	Is Tmag<13?	Is in South?	Is <100 pc?	South & <100pc?
TOI-1807	TOI-1807	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1807	field	140-220	180		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1807	Hedges+2019	1	0	Nardiello+2022		1	Gaidos+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1807&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
				220-380	300																			Loading...														
HD110082	TOI-1098	https://exoplanetarchive.ipac.caltech.edu/overview/HD110082	field	180-300	240		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1098	Tofflemire+2021	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=HD110082&json	Loading...	Loading...	8.76	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					1	Loading...	Loading...	Loading...
K2-198		https://exoplanetarchive.ipac.caltech.edu/overview/K2-198	field	200-500	350	Li, Xray, etc	https://exofop.ipac.caltech.edu/tess/target.php?id=K2-198	Pope+16, Kruse+18; Hedges+19	3	1				Ketzer+2024				https://exofop.ipac.caltech.edu/tess/target.php?id=K2-198&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-2048	TOI-2048	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2048	Group X	250-350	300		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2048	Newton+2022	1	0				Orell-Miquel+2024				https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2048&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
Kepler-1561		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1561	field	342-500	421	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1561	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1561&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-1027	TOI-1027	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1027	field; Argus?	100-500	300	still candidate	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1027	Sun+2022	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1027&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-4562	TOI-4562	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4562	field	300-400	350		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4562	Heitzmann+2023	1	0	Heitzmann+2023		1		Famiano+2024			https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-4562&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0	3.86+0.05-0.08	84 ± 7	−4.503	0.52 ± 0.03 	Loading...	Loading...	Loading...	Loading...
HD18599	TOI-179 A	https://exoplanetarchive.ipac.caltech.edu/overview/HD18599	field	300-500	400		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-179A	de Leon+2023	1	0	Desidera+2023		1					https://exofop.ipac.caltech.edu/tess/target.php?id=HD18599&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
											Vines+2023									Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
TOI-5734	TOI-5734	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5734		500	500			Filomeno+																														
Kepler-1629		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1629	field	467-581	524	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1629	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1629&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	1					Loading...	Loading...	Loading...	Loading...
Qatar-4			field	350–500	420	gyro+Li		Zak+2025																														
TOI-1683	TOI-1683	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1683	field	350-650	500	gyro	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1683	Zhang+2023	1	0				Zhang+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1683&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
HD63433	TOI-1726	https://exoplanetarchive.ipac.caltech.edu/overview/HD63433	U Major	400-450	425		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1726	Mann+2020	3	1	Mallorquin+2023		1	Damasso+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=HD63433&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
								Capistrant+2024						Orell-Miquel+2024						Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
HD73583	TOI-560	https://exoplanetarchive.ipac.caltech.edu/overview/HD73583	field	480-750	615		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-560	Zhang+2022	2	1	Baraggan+2022		2	Zhang+2023				https://exofop.ipac.caltech.edu/tess/target.php?id=HD73583&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
														El Mufti+2023						Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
HD207496	TOI-1099	https://exoplanetarchive.ipac.caltech.edu/overview/HD207496	field	260-780	520		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1099	Barros+2023	1	0	Barros+2023		1					https://exofop.ipac.caltech.edu/tess/target.php?id=HD207496&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-2046	TOI-2046	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2046	field	100-400	250		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2046	Kabath+2022	1	0	Kabath+2022		1					https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2046&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
			field		>700	gyro+Li		Zak+2025								Zak+2025																						
Qatar-4			field	350–500	425	Zak+2025		Alsubai+2017																														
