BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.548397,0.99844,0.00238,1.2567,-0.26,-0.09,6.67,16788
2460356.548503,1.00149,0.00239,1.2572,-0.72,-0.51,5.79,23683
2460356.548608,0.99891,0.00238,1.2578,-0.81,0.26,5.74,22957
2460356.548713,0.99968,0.00239,1.2583,-1.63,-0.34,6.66,17376
2460356.548818,0.99777,0.00238,1.2589,-1.47,0.17,5.82,21813
2460356.548923,1.00121,0.00239,1.2594,-1.39,0.30,5.73,21816
2460356.549029,0.99954,0.00238,1.2600,-0.22,0.22,5.44,18826
2460356.549133,0.99874,0.00238,1.2605,1.08,-0.30,6.20,22539
2460356.549238,1.00495,0.00239,1.2611,1.13,-0.45,6.67,21055
2460356.549343,1.00134,0.00239,1.2616,1.24,-0.12,5.23,24957
2460356.549448,1.01561,0.00241,1.2622,2.00,0.08,6.09,18908
2460356.549553,1.00518,0.00240,1.2627,2.27,-0.29,6.49,17112
2460356.549659,1.00121,0.00239,1.2633,0.70,0.46,6.72,16179
2460356.549764,0.99899,0.00239,1.2639,-1.16,0.55,5.57,20957
2460356.549870,1.00300,0.00239,1.2644,-2.33,0.75,6.12,21819
2460356.549975,1.00028,0.00239,1.2650,-3.59,0.72,6.55,18967
2460356.550080,1.00392,0.00240,1.2655,-3.42,1.02,5.53,21542
2460356.550185,0.99939,0.00239,1.2661,-2.77,1.38,5.85,21155
2460356.550291,0.99825,0.00239,1.2667,-0.21,0.04,6.07,17239
2460356.550396,1.00158,0.00239,1.2672,-0.60,-0.47,6.05,19676
2460356.550501,1.00121,0.00240,1.2678,-0.99,-0.02,5.74,19455
2460356.550606,0.99592,0.00239,1.2683,-1.47,-0.27,5.98,21131
2460356.550711,0.99844,0.00239,1.2689,-2.32,0.05,5.63,20519
2460356.550817,1.00587,0.00241,1.2695,-2.48,0.24,5.83,19801
2460356.550922,0.99923,0.00238,1.2700,-0.13,-0.20,5.92,17217
2460356.551027,1.00276,0.00240,1.2706,0.54,-0.58,6.02,20652
2460356.551132,1.00067,0.00239,1.2712,0.59,0.34,6.21,20051
2460356.551237,1.02436,0.00243,1.2718,0.71,-0.14,5.63,21609
2460356.551342,1.00131,0.00239,1.2723,1.66,0.43,5.31,21846
2460356.551447,1.00399,0.00240,1.2729,2.14,0.02,5.66,21375
2460356.551552,1.00519,0.00240,1.2735,1.64,-0.20,6.81,17637
2460356.551657,1.00433,0.00240,1.2740,-0.18,-0.43,5.66,20724
2460356.551762,1.00117,0.00239,1.2746,-2.74,-0.51,5.70,21766
2460356.551867,1.00388,0.00240,1.2752,-3.98,0.08,5.98,24055
2460356.551973,1.00063,0.00239,1.2758,-4.99,-0.14,5.94,24097
2460356.552078,1.00216,0.00239,1.2763,-4.57,0.50,5.62,22669
2460356.552183,1.00344,0.00241,1.2769,-1.25,-0.27,6.61,14987
2460356.552288,1.00001,0.00239,1.2775,0.20,-0.38,5.32,25937
2460356.552393,1.00466,0.00241,1.2781,0.17,-0.35,5.84,21246
2460356.552498,1.00332,0.00240,1.2787,-0.46,-0.28,5.58,26133
2460356.552603,0.99911,0.00240,1.2792,-0.82,0.25,5.42,22743
2460356.552708,0.99635,0.00239,1.2798,-0.61,0.56,5.78,24766
2460356.552814,1.00248,0.00240,1.2804,0.27,-0.52,5.96,19069
2460356.552919,1.00333,0.00240,1.2810,1.47,-1.10,5.24,23531
2460356.553024,1.00284,0.00240,1.2816,1.93,-0.90,5.22,25862
2460356.553129,1.00048,0.00240,1.2822,2.02,-0.67,5.78,22719
2460356.553234,1.00375,0.00240,1.2827,2.46,-0.64,6.17,20037
2460356.553340,1.00203,0.00240,1.2833,2.34,-0.26,4.82,24326
2460356.553444,1.00305,0.00241,1.2839,1.98,-0.14,6.02,17912
2460356.553550,1.00010,0.00240,1.2845,0.84,0.38,5.54,20847
2460356.553655,1.00143,0.00240,1.2851,-0.72,0.56,5.71,21273
2460356.553760,0.99646,0.00239,1.2857,-1.85,0.62,5.94,21861
2460356.553866,1.00293,0.00240,1.2863,-3.99,0.76,5.86,21029
