BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.555232,1.00135,0.00229,1.2941,4.10,-0.42,6.98,36518
2460356.555337,1.00280,0.00229,1.2947,2.53,-0.20,7.47,32311
2460356.555443,1.00331,0.00230,1.2953,1.41,-0.13,7.11,35575
2460356.555548,0.99826,0.00229,1.2959,0.42,0.31,7.37,31880
2460356.555653,0.99851,0.00229,1.2965,-1.94,0.50,6.90,34772
2460356.555757,1.00080,0.00229,1.2971,-3.28,0.38,6.32,39074
2460356.555863,1.00214,0.00230,1.2977,-5.07,0.75,6.93,35534
2460356.555968,0.99852,0.00230,1.2983,-1.66,-0.50,8.25,25203
2460356.556072,0.99966,0.00229,1.2989,0.77,-0.60,6.70,38280
2460356.556177,1.00200,0.00229,1.2995,2.35,-0.64,6.80,38444
2460356.556283,1.00037,0.00230,1.3002,1.88,-0.04,6.87,34385
2460356.556388,1.00051,0.00230,1.3008,1.28,0.33,6.62,36243
2460356.556493,0.99637,0.00229,1.3014,1.20,0.70,7.24,36444
2460356.556598,0.99925,0.00230,1.3020,0.44,-0.36,6.61,37029
2460356.556704,0.99514,0.00229,1.3026,1.06,-0.74,6.66,36724
2460356.556809,1.00059,0.00230,1.3033,1.78,-0.78,6.47,38429
2460356.556914,1.00634,0.00231,1.3039,2.50,-0.90,6.57,38321
2460356.557019,1.00352,0.00230,1.3045,2.95,-0.55,6.94,36786
2460356.557125,0.99593,0.00229,1.3051,3.09,-0.89,6.91,33011
2460356.557230,0.99873,0.00230,1.3058,1.96,-0.54,6.94,31907
2460356.557335,1.00305,0.00230,1.3064,1.55,-0.35,6.73,37996
2460356.557440,0.99735,0.00229,1.3070,1.38,-0.12,6.83,40690
2460356.557545,0.99985,0.00230,1.3076,0.31,0.25,6.70,35032
2460356.557650,1.00410,0.00231,1.3083,-1.86,0.72,7.11,29956
2460356.557755,0.99446,0.00230,1.3089,-3.37,0.32,6.86,34162
2460356.557860,0.99896,0.00230,1.3095,-2.36,-0.04,7.51,29321
2460356.557965,0.99842,0.00230,1.3101,-0.61,-0.48,6.87,36719
2460356.558070,0.99591,0.00229,1.3108,1.02,-0.37,6.78,40062
2460356.558175,0.99751,0.00229,1.3114,1.30,-0.40,6.59,42402
2460356.558280,1.00066,0.00230,1.3120,1.57,-0.32,7.24,36421
2460356.558386,0.99803,0.00231,1.3127,1.02,0.20,6.78,32675
2460356.558491,0.99908,0.00231,1.3133,0.99,-0.30,6.90,35104
2460356.558596,1.00405,0.00231,1.3139,0.66,-0.84,7.09,38151
2460356.558701,1.00168,0.00231,1.3145,1.39,-0.89,7.00,37793
2460356.558806,1.00402,0.00231,1.3152,2.21,-0.66,6.91,36533
2460356.558911,0.99679,0.00230,1.3159,2.67,-0.32,6.98,35907
2460356.559017,0.99989,0.00230,1.3164,2.28,0.06,6.60,41749
2460356.559122,0.99931,0.00231,1.3172,1.52,-0.55,7.27,32714
2460356.559227,1.00229,0.00232,1.3178,0.51,-0.65,7.26,30694
2460356.559332,1.00027,0.00231,1.3184,0.96,-0.30,7.08,33606
2460356.559437,1.00056,0.00231,1.3191,0.65,-0.20,7.13,35345
2460356.559542,1.00250,0.00231,1.3197,-0.93,-0.08,6.87,35665
2460356.559647,0.99911,0.00231,1.3203,-2.89,-0.04,6.47,36586
2460356.559752,0.99994,0.00231,1.3210,-2.12,-0.26,7.34,33003
2460356.559858,1.00243,0.00231,1.3217,-1.72,-0.26,6.77,36060
2460356.559963,1.00358,0.00232,1.3223,-0.53,-0.26,6.57,36721
2460356.560068,1.00161,0.00232,1.3230,-0.06,0.09,7.00,34913
2460356.560173,0.99740,0.00231,1.3236,-0.06,0.36,6.37,38446
2460356.560279,1.00004,0.00231,1.3243,0.03,0.75,6.89,34198
